参数,总收益率
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1169.539064
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1154.700243
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1134.608584
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1117.247769
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1107.328495
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1104.462107
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1092.08942
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1089.780555
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1077.656848
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1071.075831
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1069.164888
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1067.388489
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1065.845708
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 6, 'interval': 24, 'fixed_size': 2}",1060.808434
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1059.761652
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1032.574628
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1019.330441
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1016.280002
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 6, 'interval': 24, 'fixed_size': 2}",1007.13829
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",1004.733417
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",999.975697
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",982.0042859
"{'boll_window': 45, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",975.1397487
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",970.7963266
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",968.1989529
"{'boll_window': 45, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",964.8416051
"{'boll_window': 45, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",944.578193
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",942.300941
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",933.4548347
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",930.6996478
"{'boll_window': 45, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",925.6205908
"{'boll_window': 45, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 44, 'fixed_size': 2}",918.9916343
"{'boll_window': 45, 'boll_dev': 2, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 44, 'fixed_size': 2}",918.8315935
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",918.5421242
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 6, 'interval': 24, 'fixed_size': 2}",917.6810448
"{'boll_window': 45, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 44, 'fixed_size': 2}",916.3993078
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.1999999999999975, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",914.4775806
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 3.800000000000002, 'dis_open': 4, 'interval': 24, 'fixed_size': 2}",906.5225105
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 4.4, 'dis_open': 6, 'interval': 24, 'fixed_size': 2}",904.6381992
