参数,总收益率
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 6.499999999999993, 'dis_open': 8, 'interval': 2}",201.0294258
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 4.999999999999998, 'dis_open': 4, 'interval': 2}",200.8050072
"{'boll_window': 9, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 6.099999999999994, 'dis_open': 8, 'interval': 2}",200.7804434
"{'boll_window': 39, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 4.999999999999998, 'dis_open': 8, 'interval': 2}",200.1983773
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 6.499999999999993, 'dis_open': 8, 'interval': 2}",199.31193
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 6.499999999999993, 'dis_open': 8, 'interval': 2}",199.2521975
"{'boll_window': 18, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 4.999999999999998, 'dis_open': 8, 'interval': 2}",198.894418
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 4, 'interval': 2}",198.6201742
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 4.999999999999998, 'dis_open': 8, 'interval': 2}",197.7948148
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 6.199999999999994, 'dis_open': 8, 'interval': 2}",197.7400582
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 6.199999999999994, 'dis_open': 8, 'interval': 2}",197.6814467
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 18, 'risk_level': 50, 'sl_multiplier': 6.199999999999994, 'dis_open': 4, 'interval': 2}",197.0210924
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 6.099999999999994, 'dis_open': 8, 'interval': 2}",195.2841491
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 8, 'interval': 2}",195.0787358
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 6.099999999999994, 'dis_open': 8, 'interval': 2}",194.7165509
"{'boll_window': 24, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 6.099999999999994, 'dis_open': 8, 'interval': 2}",194.4980942
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 6.199999999999994, 'dis_open': 8, 'interval': 2}",194.0609005
