2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:17,483  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:6
2021-08-04 08:45:17,485  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:11:00
2021-08-04 08:45:17,487  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:6.940108428495695, trading_size:7
2021-08-04 08:45:17,489  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:13:00
2021-08-04 08:45:17,490  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.111805453029433, trading_size:7
2021-08-04 08:45:17,490  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-04 08:45:17,491  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:15:00
2021-08-04 08:45:17,493  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.185911196129354, trading_size:6
2021-08-04 08:45:17,494  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:17:00
2021-08-04 08:45:17,494  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.08695991992525, trading_size:5
2021-08-04 08:45:17,495  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,496  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:19:00
2021-08-04 08:45:17,497  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.496412157705, trading_size:5
2021-08-04 08:45:17,498  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,499  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:21:00
2021-08-04 08:45:17,499  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.538449435911483, trading_size:5
2021-08-04 08:45:17,500  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
