参数,总收益率
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 6, 'interval': 2}",222.2145055
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 6, 'interval': 2}",221.2748319
"{'boll_window': 6, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 12, 'interval': 2}",216.9356266
"{'boll_window': 6, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",214.8577113
"{'boll_window': 6, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 12, 'interval': 2}",202.0428503
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",198.6189419
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 14, 'interval': 2}",195.5185626
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",190.9083062
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 14, 'interval': 2}",190.6440981
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",182.1062404
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 12, 'interval': 2}",181.0747372
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 12, 'interval': 2}",179.4270244
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 12, 'interval': 2}",179.118788
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 6, 'interval': 2}",175.0941324
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 14, 'interval': 2}",174.9124433
"{'boll_window': 6, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 12, 'interval': 2}",173.1315828
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 6, 'interval': 2}",172.4680622
"{'boll_window': 6, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 6, 'interval': 2}",170.891083
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",168.6434345
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 14, 'interval': 2}",164.4477628
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",163.410793
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",162.3917941
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",162.3691537
"{'boll_window': 12, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",161.840472
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 6, 'interval': 2}",161.4655977
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 6, 'interval': 2}",161.2395766
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 12, 'interval': 2}",161.1769713
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.299999999999998, 'dis_open': 6, 'interval': 2}",160.5071124
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 6, 'interval': 2}",159.9586826
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 6, 'interval': 2}",159.193949
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",155.8446029
"{'boll_window': 21, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 6, 'interval': 2}",155.0172609
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 4.8, 'dis_open': 12, 'interval': 2}",153.5520409
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 6, 'interval': 2}",152.2959335
"{'boll_window': 15, 'boll_dev': 2, 'atr_window': 12, 'risk_level': 50, 'sl_multiplier': 5.199999999999998, 'dis_open': 6, 'interval': 2}",151.7228007
