参数,总收益率
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 20, 'fixed_size': 2}",2507.152553
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 6, 'risk_level': 50, 'sl_multiplier': 6.099999999999994, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2497.113783
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 20, 'fixed_size': 2}",2433.803055
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 6, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 6, 'interval': 20, 'fixed_size': 2}",2424.767375
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 20, 'fixed_size': 2}",2379.272474
"{'boll_window': 48, 'boll_dev': 4, 'atr_window': 6, 'risk_level': 50, 'sl_multiplier': 4.5, 'dis_open': 6, 'interval': 14, 'fixed_size': 2}",2367.621042
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2361.195062
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 8, 'interval': 42, 'fixed_size': 2}",2346.949601
"{'boll_window': 33, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 6, 'interval': 20, 'fixed_size': 2}",2346.762912
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 6, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2337.401059
"{'boll_window': 18, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2334.671936
"{'boll_window': 18, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2329.037545
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 6, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 20, 'fixed_size': 2}",2326.842794
"{'boll_window': 33, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 20, 'fixed_size': 2}",2320.185368
"{'boll_window': 33, 'boll_dev': 8, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2316.573194
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2305.007544
"{'boll_window': 18, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 4, 'interval': 54, 'fixed_size': 2}",2296.429317
"{'boll_window': 18, 'boll_dev': 4, 'atr_window': 6, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 4, 'interval': 54, 'fixed_size': 2}",2290.742014
"{'boll_window': 18, 'boll_dev': 4, 'atr_window': 6, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 4, 'interval': 54, 'fixed_size': 2}",2284.50265
"{'boll_window': 48, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 4.5, 'dis_open': 6, 'interval': 14, 'fixed_size': 2}",2281.102146
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2277.627034
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 6.099999999999994, 'dis_open': 8, 'interval': 42, 'fixed_size': 2}",2227.083526
"{'boll_window': 9, 'boll_dev': 6, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2226.072757
"{'boll_window': 27, 'boll_dev': 8, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2225.102887
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 2.1000000000000005, 'dis_open': 2, 'interval': 20, 'fixed_size': 2}",2222.48713
"{'boll_window': 9, 'boll_dev': 6, 'atr_window': 18, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2221.798116
"{'boll_window': 12, 'boll_dev': 6, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2220.958496
"{'boll_window': 33, 'boll_dev': 8, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2220.261045
"{'boll_window': 48, 'boll_dev': 8, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2214.568781
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 2.1000000000000005, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2188.232954
"{'boll_window': 27, 'boll_dev': 8, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 6.099999999999994, 'dis_open': 8, 'interval': 12, 'fixed_size': 2}",2187.607162
"{'boll_window': 18, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 4, 'interval': 54, 'fixed_size': 2}",2179.247373
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 3.700000000000002, 'dis_open': 10, 'interval': 20, 'fixed_size': 2}",2178.989714
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 2, 'interval': 42, 'fixed_size': 2}",2173.641465
"{'boll_window': 9, 'boll_dev': 6, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 1.9000000000000006, 'dis_open': 2, 'interval': 54, 'fixed_size': 2}",2149.568262
